Category,Responsible Office,Question,Answer
"Admission, Registration & Records",Registrar,Where can I register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Where do I register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Who can help me register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Which office should I contact to register for my courses?,Course registration is done online via the student portal.
"Admission, Registration & Records",Registrar,Why can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,What is the reason can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,Why is it that can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,What could cause can’t I register for a course?,"Due to unmet prerequisites, full classes, or system restrictions."
"Admission, Registration & Records",Registrar,How do I drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,How can I drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,What is the process to drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,What should I do to drop or add a course?,Done online within the add/drop period.
"Admission, Registration & Records",Registrar,Why is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,What is the reason is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,Why is it that is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,What could cause is the registration system not working?,Could be due to system maintenance or high traffic.
"Admission, Registration & Records",Registrar,Can I register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,Am I allowed to register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,Is it possible to register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,May I register late?,Late registration may be allowed with penalty or approval.
"Admission, Registration & Records",Registrar,How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,Could you clarify How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,I want to know How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,Can you guide me on How many courses can I take per semester?,Depends on program rules and credit limits.
"Admission, Registration & Records",Registrar,How can I get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,How do I get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,What is the process to get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,What should I do to get my transcript?,Request submitted online; processed in a few days.
"Admission, Registration & Records",Registrar,Can I download my transcript online?,Unofficial transcripts are available instantly online.
"Admission, Registration & Records",Registrar,Am I allowed to download my transcript online?,Unofficial transcripts are available instantly online.
"Admission, Registration & Records",Registrar,Is it possible to download my transcript online?,Unofficial transcripts are available instantly online.
"Admission, Registration & Records",Registrar,May I download my transcript online?,Unofficial transcripts are available instantly online.
"Admission, Registration & Records",Registrar,How long does it take to get an official transcript?,Usually takes a few working days.
"Admission, Registration & Records",Registrar,What is the expected time to get an official transcript?,Usually takes a few working days.
"Admission, Registration & Records",Registrar,How much time is needed to get an official transcript?,Usually takes a few working days.
"Admission, Registration & Records",Registrar,When can I expect to get an official transcript?,Usually takes a few working days.
"Admission, Registration & Records",Registrar,How do I correct my personal details?,Submit request online with documents.
"Admission, Registration & Records",Registrar,How can I correct my personal details?,Submit request online with documents.
"Admission, Registration & Records",Registrar,What is the process to correct my personal details?,Submit request online with documents.
"Admission, Registration & Records",Registrar,What should I do to correct my personal details?,Submit request online with documents.
"Admission, Registration & Records",Registrar,My grades are incorrect—what should I do?,Report issue; instructor verification required.
"Admission, Registration & Records",Registrar,Could you clarify My grades are incorrect—what should I do?,Report issue; instructor verification required.
"Admission, Registration & Records",Registrar,I want to know My grades are incorrect—what should I do?,Report issue; instructor verification required.
"Admission, Registration & Records",Registrar,Can you guide me on My grades are incorrect—what should I do?,Report issue; instructor verification required.
"Admission, Registration & Records",Registrar,Can I change my name on records?,"Yes, with legal supporting documents."
"Admission, Registration & Records",Registrar,Am I allowed to change my name on records?,"Yes, with legal supporting documents."
"Admission, Registration & Records",Registrar,Is it possible to change my name on records?,"Yes, with legal supporting documents."
"Admission, Registration & Records",Registrar,May I change my name on records?,"Yes, with legal supporting documents."
"Admission, Registration & Records",Registrar,Can I defer my semester?,Allowed under certain conditions with approval.
"Admission, Registration & Records",Registrar,Am I allowed to defer my semester?,Allowed under certain conditions with approval.
"Admission, Registration & Records",Registrar,Is it possible to defer my semester?,Allowed under certain conditions with approval.
"Admission, Registration & Records",Registrar,May I defer my semester?,Allowed under certain conditions with approval.
"Admission, Registration & Records",Registrar,Can I change my department or program?,Possible with approval and requirements.
"Admission, Registration & Records",Registrar,Am I allowed to change my department or program?,Possible with approval and requirements.
"Admission, Registration & Records",Registrar,Is it possible to change my department or program?,Possible with approval and requirements.
"Admission, Registration & Records",Registrar,May I change my department or program?,Possible with approval and requirements.
Courses & Grading,Registrar,What happens if I fail a course?,You may retake it based on academic rules.
Courses & Grading,Registrar,Could you clarify What happens if I fail a course?,You may retake it based on academic rules.
Courses & Grading,Registrar,I want to know What happens if I fail a course?,You may retake it based on academic rules.
Courses & Grading,Registrar,Can you guide me on What happens if I fail a course?,You may retake it based on academic rules.
Courses & Grading,Registrar,How do I repeat a course?,Register again in a future semester.
Courses & Grading,Registrar,How can I repeat a course?,Register again in a future semester.
Courses & Grading,Registrar,What is the process to repeat a course?,Register again in a future semester.
Courses & Grading,Registrar,What should I do to repeat a course?,Register again in a future semester.
Courses & Grading,Registrar,What is my GPA and how is it calculated?,GPA is based on grades and credit hours.
Courses & Grading,Registrar,Can you explain my GPA and how is it calculated?,GPA is based on grades and credit hours.
Courses & Grading,Registrar,How is my GPA and how is it calculated defined?,GPA is based on grades and credit hours.
Courses & Grading,Registrar,What does my GPA and how is it calculated mean?,GPA is based on grades and credit hours.
Courses & Grading,Registrar,Why is my GPA lower than expected?,Could be due to failed or low-grade courses.
Courses & Grading,Registrar,What is the reason is my GPA lower than expected?,Could be due to failed or low-grade courses.
Courses & Grading,Registrar,Why is it that is my GPA lower than expected?,Could be due to failed or low-grade courses.
Courses & Grading,Registrar,What could cause is my GPA lower than expected?,Could be due to failed or low-grade courses.
E-Learning (LMS),Reception,Where do I report technical issues with the portal?,Directed to IT support.
E-Learning (LMS),Reception,Where can I report technical issues with the portal?,Directed to IT support.
E-Learning (LMS),Reception,Who should I contact to report technical issues with the portal?,Directed to IT support.
E-Learning (LMS),Reception,Which office handles how to report technical issues with the portal?,Directed to IT support.
E-Learning (LMS),Reception,I forgot my student portal password—what do I do?,Use password reset or contact IT support.
E-Learning (LMS),Reception,I can't remember my student portal password—what do I do; what should I do?,Use password reset or contact IT support.
E-Learning (LMS),Reception,What can I do if I forgot my student portal password—what do I do?,Use password reset or contact IT support.
E-Learning (LMS),Reception,Who can help if I forgot my student portal password—what do I do?,Use password reset or contact IT support.
E-Learning (LMS),Registrar,Why is my course not showing on the portal?,Could be a system delay or registration issue.
E-Learning (LMS),Registrar,What is the reason is my course not showing on the portal?,Could be a system delay or registration issue.
E-Learning (LMS),Registrar,Why is it that is my course not showing on the portal?,Could be a system delay or registration issue.
E-Learning (LMS),Registrar,What could cause is my course not showing on the portal?,Could be a system delay or registration issue.
Graduation & Clearance,Registrar,How do I withdraw from the university?,Submit official withdrawal request.
Graduation & Clearance,Registrar,How can I withdraw from the university?,Submit official withdrawal request.
Graduation & Clearance,Registrar,What is the process to withdraw from the university?,Submit official withdrawal request.
Graduation & Clearance,Registrar,What should I do to withdraw from the university?,Submit official withdrawal request.
Student Services & Campus Facilities,Reception,Who do I talk to for academic advising?,Directed to advisors or departments.
Student Services & Campus Facilities,Reception,Who is in charge of do I talk to for academic advising?,Directed to advisors or departments.
Student Services & Campus Facilities,Reception,Whom should I ask about do I talk to for academic advising?,Directed to advisors or departments.
Student Services & Campus Facilities,Reception,Which office handles do I talk to for academic advising?,Directed to advisors or departments.
Student Services & Campus Facilities,Reception,What are office working hours?,Provided by reception.
Student Services & Campus Facilities,Reception,Can you explain office working hours?,Provided by reception.
Student Services & Campus Facilities,Reception,Could you list office working hours?,Provided by reception.
Student Services & Campus Facilities,Reception,What should I know about office working hours?,Provided by reception.
E-Learning (LMS),System Administration,How do I reset my webmail password?,Contact the System Administration Office on the third floor to reset it.
E-Learning (LMS),System Administration,How can I reset my webmail password?,Contact the System Administration Office on the third floor to reset it.
E-Learning (LMS),System Administration,What is the process to reset my webmail password?,Contact the System Administration Office on the third floor to reset it.
E-Learning (LMS),System Administration,What should I do to reset my webmail password?,Contact the System Administration Office on the third floor to reset it.
E-Learning (LMS),System Administration,How can I get help with Moodle?,Visit the System Administration Office on the third floor for guidance.
E-Learning (LMS),System Administration,How do I get help with Moodle?,Visit the System Administration Office on the third floor for guidance.
E-Learning (LMS),System Administration,What is the process to get help with Moodle?,Visit the System Administration Office on the third floor for guidance.
E-Learning (LMS),System Administration,What should I do to get help with Moodle?,Visit the System Administration Office on the third floor for guidance.
E-Learning (LMS),System Administration,What should I do if my computer is not working?,Report college-related computer issues to the System Administration Office on the third floor.
E-Learning (LMS),System Administration,Could you clarify What should I do if my computer is not working?,Report college-related computer issues to the System Administration Office on the third floor.
E-Learning (LMS),System Administration,I want to know What should I do if my computer is not working?,Report college-related computer issues to the System Administration Office on the third floor.
E-Learning (LMS),System Administration,Can you guide me on What should I do if my computer is not working?,Report college-related computer issues to the System Administration Office on the third floor.
E-Learning (LMS),System Administration,Who handles computer lab problems?,The System Administration Office on the third floor handles lab equipment issues.
E-Learning (LMS),System Administration,Who is in charge of handles computer lab problems?,The System Administration Office on the third floor handles lab equipment issues.
E-Learning (LMS),System Administration,Whom should I ask about handles computer lab problems?,The System Administration Office on the third floor handles lab equipment issues.
E-Learning (LMS),System Administration,Which office handles handles computer lab problems?,The System Administration Office on the third floor handles lab equipment issues.
E-Learning (LMS),System Administration,Where can I get software support?,The System Administration Office on the third floor provides support for college systems only.
E-Learning (LMS),System Administration,Where do I get software support?,The System Administration Office on the third floor provides support for college systems only.
E-Learning (LMS),System Administration,Who can help me get software support?,The System Administration Office on the third floor provides support for college systems only.
E-Learning (LMS),System Administration,Which office should I contact to get software support?,The System Administration Office on the third floor provides support for college systems only.
E-Learning (LMS),System Administration,What should I do if I have a wireless network issue?,Contact the System Administration Office on the third floor for campus network issues.
E-Learning (LMS),System Administration,Could you clarify What should I do if I have a wireless network issue?,Contact the System Administration Office on the third floor for campus network issues.
E-Learning (LMS),System Administration,I want to know What should I do if I have a wireless network issue?,Contact the System Administration Office on the third floor for campus network issues.
E-Learning (LMS),System Administration,Can you guide me on What should I do if I have a wireless network issue?,Contact the System Administration Office on the third floor for campus network issues.
E-Learning (LMS),System Administration,Who maintains computers and systems?,The System Administration Office on the third floor maintains college systems and equipment.
E-Learning (LMS),System Administration,Who is in charge of maintains computers and systems?,The System Administration Office on the third floor maintains college systems and equipment.
E-Learning (LMS),System Administration,Whom should I ask about maintains computers and systems?,The System Administration Office on the third floor maintains college systems and equipment.
E-Learning (LMS),System Administration,Which office handles maintains computers and systems?,The System Administration Office on the third floor maintains college systems and equipment.
E-Learning (LMS),Registrar,"I forgot my HSIS password, where can I get help?","Visit the Registrar Office and contact Eliyas, who handles all HSIS-related issues."
E-Learning (LMS),Registrar,"I can't remember my HSIS password, where can I get help; what should I do?","Visit the Registrar Office and contact Eliyas, who handles all HSIS-related issues."
E-Learning (LMS),Registrar,"What can I do if I forgot my HSIS password, where can I get help?","Visit the Registrar Office and contact Eliyas, who handles all HSIS-related issues."
E-Learning (LMS),Registrar,"Who can help if I forgot my HSIS password, where can I get help?","Visit the Registrar Office and contact Eliyas, who handles all HSIS-related issues."
E-Learning (LMS),Registrar,"I am an RA student and not enrolled on Moodle, what should I do?",Contact Eliyas at the Registrar Office to fix your enrollment.
E-Learning (LMS),Registrar,"Could you clarify I am an RA student and not enrolled on Moodle, what should I do?",Contact Eliyas at the Registrar Office to fix your enrollment.
E-Learning (LMS),Registrar,"I want to know I am an RA student and not enrolled on Moodle, what should I do?",Contact Eliyas at the Registrar Office to fix your enrollment.
E-Learning (LMS),Registrar,"Can you guide me on I am an RA student and not enrolled on Moodle, what should I do?",Contact Eliyas at the Registrar Office to fix your enrollment.
"Admission, Registration & Records",Quality Assurance,Who is eligible to apply for course exemption?,A student who has completed courses prior to joining HiLCoE
"Admission, Registration & Records",Quality Assurance,Who is in charge of is eligible to apply for course exemption?,A student who has completed courses prior to joining HiLCoE
"Admission, Registration & Records",Quality Assurance,Whom should I ask about is eligible to apply for course exemption?,A student who has completed courses prior to joining HiLCoE
"Admission, Registration & Records",Quality Assurance,Which office handles is eligible to apply for course exemption?,A student who has completed courses prior to joining HiLCoE
"Admission, Registration & Records",Quality Assurance,What documents do I need to request a course exemption?,An official academic transcript must be submitted directly to HiLCoE by the respective university or college.
"Admission, Registration & Records",Quality Assurance,Could you clarify What documents do I need to request a course exemption?,An official academic transcript must be submitted directly to HiLCoE by the respective university or college.
"Admission, Registration & Records",Quality Assurance,I want to know What documents do I need to request a course exemption?,An official academic transcript must be submitted directly to HiLCoE by the respective university or college.
"Admission, Registration & Records",Quality Assurance,Can you guide me on What documents do I need to request a course exemption?,An official academic transcript must be submitted directly to HiLCoE by the respective university or college.
"Admission, Registration & Records",Quality Assurance,What courses are open for exemption?,"Primarily common courses; under special circumstances, programming-related courses may also be considered."
"Admission, Registration & Records",Quality Assurance,Could you clarify What courses are open for exemption?,"Primarily common courses; under special circumstances, programming-related courses may also be considered."
"Admission, Registration & Records",Quality Assurance,I want to know What courses are open for exemption?,"Primarily common courses; under special circumstances, programming-related courses may also be considered."
"Admission, Registration & Records",Quality Assurance,Can you guide me on What courses are open for exemption?,"Primarily common courses; under special circumstances, programming-related courses may also be considered."
"Admission, Registration & Records",Quality Assurance,Is there a deadline for applying for course exemption?,Before the student's graduation period
"Admission, Registration & Records",Quality Assurance,Are there any a deadline for applying for course exemption?,Before the student's graduation period
"Admission, Registration & Records",Quality Assurance,Do we have a deadline for applying for course exemption?,Before the student's graduation period
"Admission, Registration & Records",Quality Assurance,Is any a deadline for applying for course exemption available?,Before the student's graduation period
"Admission, Registration & Records",Quality Assurance,Can I get exemption for multiple courses at once? (How many courses can I get exemption for?),"Yes, a maximum of 36 credit hrs"
"Admission, Registration & Records",Quality Assurance,Am I allowed to get exemption for multiple courses at once? (How many courses can I get exemption for?)?,"Yes, a maximum of 36 credit hrs"
"Admission, Registration & Records",Quality Assurance,Is it possible to get exemption for multiple courses at once? (How many courses can I get exemption for?)?,"Yes, a maximum of 36 credit hrs"
"Admission, Registration & Records",Quality Assurance,May I get exemption for multiple courses at once? (How many courses can I get exemption for?)?,"Yes, a maximum of 36 credit hrs"
"Admission, Registration & Records",Quality Assurance,Will exempted courses affect my GPA?,"No, they will be recorded on the student’s transcript as a list of exempted courses"
"Admission, Registration & Records",Quality Assurance,Could exempted courses affect my GPA?,"No, they will be recorded on the student’s transcript as a list of exempted courses"
"Admission, Registration & Records",Quality Assurance,Can exempted courses affect my GPA?,"No, they will be recorded on the student’s transcript as a list of exempted courses"
"Admission, Registration & Records",Quality Assurance,Is it possible that exempted courses affect my GPA?,"No, they will be recorded on the student’s transcript as a list of exempted courses"
"Admission, Registration & Records",Quality Assurance,What if my exemption request is rejected?,The student is required to register for and complete courses in accordance with HiLCoE’s academic schedule.
"Admission, Registration & Records",Quality Assurance,What happens if my exemption request is rejected?,The student is required to register for and complete courses in accordance with HiLCoE’s academic schedule.
"Admission, Registration & Records",Quality Assurance,What should I do if my exemption request is rejected?,The student is required to register for and complete courses in accordance with HiLCoE’s academic schedule.
"Admission, Registration & Records",Quality Assurance,How is it handled if my exemption request is rejected?,The student is required to register for and complete courses in accordance with HiLCoE’s academic schedule.
"Admission, Registration & Records",Quality Assurance,What are the requirements for new student admission?,Recent Grade 12 matric result with a minimum score of 50% or above
"Admission, Registration & Records",Quality Assurance,Can you explain the requirements for new student admission?,Recent Grade 12 matric result with a minimum score of 50% or above
"Admission, Registration & Records",Quality Assurance,Could you list the requirements for new student admission?,Recent Grade 12 matric result with a minimum score of 50% or above
"Admission, Registration & Records",Quality Assurance,What should I know about the requirements for new student admission?,Recent Grade 12 matric result with a minimum score of 50% or above
"Admission, Registration & Records",Quality Assurance,How can transfer students apply?,Transfer applications should be submitted at the beginning of a term or semester. Late applicants may be given an appointment
"Admission, Registration & Records",Quality Assurance,Could you clarify How can transfer students apply?,Transfer applications should be submitted at the beginning of a term or semester. Late applicants may be given an appointment
"Admission, Registration & Records",Quality Assurance,I want to know How can transfer students apply?,Transfer applications should be submitted at the beginning of a term or semester. Late applicants may be given an appointment
"Admission, Registration & Records",Quality Assurance,Can you guide me on How can transfer students apply?,Transfer applications should be submitted at the beginning of a term or semester. Late applicants may be given an appointment
"Admission, Registration & Records",Quality Assurance,What documents are required for transfer admission?,"All documents required for new admissions, along with an official transcript or grade report from their previous institution"
"Admission, Registration & Records",Quality Assurance,Could you clarify What documents are required for transfer admission?,"All documents required for new admissions, along with an official transcript or grade report from their previous institution"
"Admission, Registration & Records",Quality Assurance,I want to know What documents are required for transfer admission?,"All documents required for new admissions, along with an official transcript or grade report from their previous institution"
"Admission, Registration & Records",Quality Assurance,Can you guide me on What documents are required for transfer admission?,"All documents required for new admissions, along with an official transcript or grade report from their previous institution"
"Admission, Registration & Records",Quality Assurance,How are previous credits evaluated for transfer students?,A maximum of 36 credit hours may be exempted from previously completed courses. Students are required to retake all remaining courses
"Admission, Registration & Records",Quality Assurance,Could you clarify How are previous credits evaluated for transfer students?,A maximum of 36 credit hours may be exempted from previously completed courses. Students are required to retake all remaining courses
"Admission, Registration & Records",Quality Assurance,I want to know How are previous credits evaluated for transfer students?,A maximum of 36 credit hours may be exempted from previously completed courses. Students are required to retake all remaining courses
"Admission, Registration & Records",Quality Assurance,Can you guide me on How are previous credits evaluated for transfer students?,A maximum of 36 credit hours may be exempted from previously completed courses. Students are required to retake all remaining courses
"Admission, Registration & Records",Quality Assurance,When will I know if my admission is accepted?,Applicants will be notified via phone call from the office. Regular follow-up is advised.
"Admission, Registration & Records",Quality Assurance,Could you clarify When will I know if my admission is accepted?,Applicants will be notified via phone call from the office. Regular follow-up is advised.
"Admission, Registration & Records",Quality Assurance,I want to know When will I know if my admission is accepted?,Applicants will be notified via phone call from the office. Regular follow-up is advised.
"Admission, Registration & Records",Quality Assurance,Can you guide me on When will I know if my admission is accepted?,Applicants will be notified via phone call from the office. Regular follow-up is advised.
"Admission, Registration & Records",Quality Assurance,Is there an entrance exam or interview?,No
"Admission, Registration & Records",Quality Assurance,Are there any an entrance exam or interview?,No
"Admission, Registration & Records",Quality Assurance,Do we have an entrance exam or interview?,No
"Admission, Registration & Records",Quality Assurance,Is any an entrance exam or interview available?,No
"Admission, Registration & Records",Quality Assurance,Can I transfer from a different department or only similar fields?,Transfer from different department is allowed provided the applicant has completed the prerequisite courses at their previous institution.
"Admission, Registration & Records",Quality Assurance,Am I allowed to transfer from a different department or only similar fields?,Transfer from different department is allowed provided the applicant has completed the prerequisite courses at their previous institution.
"Admission, Registration & Records",Quality Assurance,Is it possible to transfer from a different department or only similar fields?,Transfer from different department is allowed provided the applicant has completed the prerequisite courses at their previous institution.
"Admission, Registration & Records",Quality Assurance,May I transfer from a different department or only similar fields?,Transfer from different department is allowed provided the applicant has completed the prerequisite courses at their previous institution.
"Admission, Registration & Records",Quality Assurance,Are there any fees for transfer or admission processing?,"A non-refundable application fee of 1,000 ETB is required. For transfer students who have previously applied, their earlier application may be reused."
"Admission, Registration & Records",Quality Assurance,Could you clarify if Are there any fees for transfer or admission processing?,"A non-refundable application fee of 1,000 ETB is required. For transfer students who have previously applied, their earlier application may be reused."
"Admission, Registration & Records",Quality Assurance,Can you confirm whether Are there any fees for transfer or admission processing?,"A non-refundable application fee of 1,000 ETB is required. For transfer students who have previously applied, their earlier application may be reused."
"Admission, Registration & Records",Quality Assurance,I need guidance on whether Are there any fees for transfer or admission processing?,"A non-refundable application fee of 1,000 ETB is required. For transfer students who have previously applied, their earlier application may be reused."
Internship & Senior Project,Quality Assurance,How are project supervisors assigned?,"Term projects:- Course instructors, Senior projects:- randomly or based on the instructor’s area of expertise and the project domain"
Internship & Senior Project,Quality Assurance,Could you clarify How are project supervisors assigned?,"Term projects:- Course instructors, Senior projects:- randomly or based on the instructor’s area of expertise and the project domain"
Internship & Senior Project,Quality Assurance,I want to know How are project supervisors assigned?,"Term projects:- Course instructors, Senior projects:- randomly or based on the instructor’s area of expertise and the project domain"
Internship & Senior Project,Quality Assurance,Can you guide me on How are project supervisors assigned?,"Term projects:- Course instructors, Senior projects:- randomly or based on the instructor’s area of expertise and the project domain"
Internship & Senior Project,Quality Assurance,What is the timeline for submitting term/senior projects?,"Term projects:- 14-16 weeks, Senior projects:- 16 weeks"
Internship & Senior Project,Quality Assurance,Can you explain the timeline for submitting term/senior projects?,"Term projects:- 14-16 weeks, Senior projects:- 16 weeks"
Internship & Senior Project,Quality Assurance,How is the timeline for submitting term/senior projects defined?,"Term projects:- 14-16 weeks, Senior projects:- 16 weeks"
Internship & Senior Project,Quality Assurance,What does the timeline for submitting term/senior projects mean?,"Term projects:- 14-16 weeks, Senior projects:- 16 weeks"
Internship & Senior Project,Quality Assurance,Where can I find the project guidelines or format?,"Provided during the orientation and project kick-off sessions, along with supporting documents and reference materials. These can also be obtained from Mr. Abdellah."
Internship & Senior Project,Quality Assurance,Where do I find the project guidelines or format?,"Provided during the orientation and project kick-off sessions, along with supporting documents and reference materials. These can also be obtained from Mr. Abdellah."
Internship & Senior Project,Quality Assurance,Who can help me find the project guidelines or format?,"Provided during the orientation and project kick-off sessions, along with supporting documents and reference materials. These can also be obtained from Mr. Abdellah."
Internship & Senior Project,Quality Assurance,Which office should I contact to find the project guidelines or format?,"Provided during the orientation and project kick-off sessions, along with supporting documents and reference materials. These can also be obtained from Mr. Abdellah."
Internship & Senior Project,Quality Assurance,What happens if I miss a project deadline?,"With a valid justification and approval from the advisor, a delay may be tolerated. Otherwise, the student will be required to re-register for the project and complete it in a subsequent term(semester)"
Internship & Senior Project,Quality Assurance,Could you clarify What happens if I miss a project deadline?,"With a valid justification and approval from the advisor, a delay may be tolerated. Otherwise, the student will be required to re-register for the project and complete it in a subsequent term(semester)"
Internship & Senior Project,Quality Assurance,I want to know What happens if I miss a project deadline?,"With a valid justification and approval from the advisor, a delay may be tolerated. Otherwise, the student will be required to re-register for the project and complete it in a subsequent term(semester)"
Internship & Senior Project,Quality Assurance,Can you guide me on What happens if I miss a project deadline?,"With a valid justification and approval from the advisor, a delay may be tolerated. Otherwise, the student will be required to re-register for the project and complete it in a subsequent term(semester)"
Internship & Senior Project,Quality Assurance,How is the project graded?,"With standardaized grading form and scale (Advisor: 65% of total grade, Examiner: 35%)"
Internship & Senior Project,Quality Assurance,Could you clarify How is the project graded?,"With standardaized grading form and scale (Advisor: 65% of total grade, Examiner: 35%)"
Internship & Senior Project,Quality Assurance,I want to know How is the project graded?,"With standardaized grading form and scale (Advisor: 65% of total grade, Examiner: 35%)"
Internship & Senior Project,Quality Assurance,Can you guide me on How is the project graded?,"With standardaized grading form and scale (Advisor: 65% of total grade, Examiner: 35%)"
Internship & Senior Project,Quality Assurance,Who should I contact if I have issues with my supervisor?,"Communicate to the project coordinator, currently Mr. Abdellah"
Internship & Senior Project,Quality Assurance,Who is in charge of should I contact if I have issues with my supervisor?,"Communicate to the project coordinator, currently Mr. Abdellah"
Internship & Senior Project,Quality Assurance,Whom should I ask about should I contact if I have issues with my supervisor?,"Communicate to the project coordinator, currently Mr. Abdellah"
Internship & Senior Project,Quality Assurance,Which office handles should I contact if I have issues with my supervisor?,"Communicate to the project coordinator, currently Mr. Abdellah"
Internship & Senior Project,Quality Assurance,How can I request an internship support letter?,Requests must be made in person at Mr. Abdellah’s office
Internship & Senior Project,Quality Assurance,How do I request an internship support letter?,Requests must be made in person at Mr. Abdellah’s office
Internship & Senior Project,Quality Assurance,What is the process to request an internship support letter?,Requests must be made in person at Mr. Abdellah’s office
Internship & Senior Project,Quality Assurance,What should I do to request an internship support letter?,Requests must be made in person at Mr. Abdellah’s office
Internship & Senior Project,Quality Assurance,What information should I include in my request?,The name of the organization or institution where the internship is intended.
Internship & Senior Project,Quality Assurance,Could you clarify What information should I include in my request?,The name of the organization or institution where the internship is intended.
Internship & Senior Project,Quality Assurance,I want to know What information should I include in my request?,The name of the organization or institution where the internship is intended.
Internship & Senior Project,Quality Assurance,Can you guide me on What information should I include in my request?,The name of the organization or institution where the internship is intended.
Internship & Senior Project,Quality Assurance,How long does it take to get the letter?,One working day
Internship & Senior Project,Quality Assurance,What is the expected time to get the letter?,One working day
Internship & Senior Project,Quality Assurance,How much time is needed to get the letter?,One working day
Internship & Senior Project,Quality Assurance,When can I expect to get the letter?,One working day
Internship & Senior Project,Quality Assurance,Can I request multiple letters for different companies?,"Not recommended, but requests may be considered under specific circumstanses"
Internship & Senior Project,Quality Assurance,Am I allowed to request multiple letters for different companies?,"Not recommended, but requests may be considered under specific circumstanses"
Internship & Senior Project,Quality Assurance,Is it possible to request multiple letters for different companies?,"Not recommended, but requests may be considered under specific circumstanses"
Internship & Senior Project,Quality Assurance,May I request multiple letters for different companies?,"Not recommended, but requests may be considered under specific circumstanses"
Internship & Senior Project,Quality Assurance,Do I need to have an internship offer before requesting the letter?,Yes
Internship & Senior Project,Quality Assurance,Is it required to have an internship offer before requesting the letter?,Yes
Internship & Senior Project,Quality Assurance,Do I have to have an internship offer before requesting the letter?,Yes
Internship & Senior Project,Quality Assurance,Must I have an internship offer before requesting the letter?,Yes
Internship & Senior Project,Quality Assurance,Who approves or signs the support letter?,Mr. Abdellah and Mr. Hassen(for Software Engineering students) with an official college seal
Internship & Senior Project,Quality Assurance,Where do I get approval or signature for the support letter?,Mr. Abdellah and Mr. Hassen(for Software Engineering students) with an official college seal
Internship & Senior Project,Quality Assurance,Which office gives final approval or signs the support letter?,Mr. Abdellah and Mr. Hassen(for Software Engineering students) with an official college seal
Internship & Senior Project,Quality Assurance,Who can authorize the support letter?,Mr. Abdellah and Mr. Hassen(for Software Engineering students) with an official college seal